User_Id,Place_Id,Place_Ratings,Place_Ratings_normalized
1,179,3,0.6
1,101,4,0.8
1,154,2,0.4
1,103,3,0.6
1,208,5,1.0
1,89,3,0.6
2,147,2,0.4
2,85,4,0.8
2,111,2,0.4
2,107,2,0.4
2,185,2,0.4
2,105,2,0.4
2,176,3,0.6
2,208,5,1.0
2,208,3,0.6
2,167,2,0.4
2,166,2,0.4
3,202,5,1.0
3,202,3,0.6
3,118,2,0.4
3,86,4,0.8
3,105,5,1.0
3,131,4,0.8
3,193,2,0.4
3,176,2,0.4
3,104,3,0.6
3,128,5,1.0
3,134,3,0.6
3,100,4,0.8
3,198,5,1.0
4,88,3,0.6
4,91,3,0.6
4,193,5,1.0
4,97,2,0.4
5,138,2,0.4
5,166,3,0.6
5,151,5,1.0
5,159,2,0.4
5,143,4,0.8
5,190,2,0.4
5,115,3,0.6
6,178,3,0.6
6,92,2,0.4
6,102,4,0.8
6,166,5,1.0
6,116,5,1.0
6,121,4,0.8
6,88,5,1.0
6,119,2,0.4
7,126,5,1.0
7,192,5,1.0
7,183,5,1.0
7,129,4,0.8
7,99,4,0.8
7,88,4,0.8
7,148,3,0.6
7,183,4,0.8
7,107,2,0.4
8,158,5,1.0
8,98,5,1.0
8,173,3,0.6
8,89,3,0.6
8,143,5,1.0
8,98,2,0.4
8,130,3,0.6
8,164,5,1.0
8,202,3,0.6
9,196,4,0.8
9,206,3,0.6
9,188,4,0.8
9,95,5,1.0
9,105,2,0.4
9,204,2,0.4
10,145,3,0.6
10,168,5,1.0
10,134,5,1.0
10,95,5,1.0
10,90,5,1.0
10,205,5,1.0
10,197,3,0.6
10,159,2,0.4
11,107,3,0.6
11,109,2,0.4
11,206,2,0.4
11,97,4,0.8
11,186,4,0.8
11,88,3,0.6
11,151,5,1.0
11,149,2,0.4
11,150,2,0.4
11,127,3,0.6
12,194,3,0.6
12,94,5,1.0
12,183,5,1.0
12,203,5,1.0
12,139,4,0.8
12,141,2,0.4
12,154,5,1.0
12,102,5,1.0
12,128,2,0.4
12,98,2,0.4
13,114,5,1.0
13,129,4,0.8
13,191,2,0.4
13,156,3,0.6
13,177,2,0.4
13,163,4,0.8
13,178,2,0.4
13,142,5,1.0
14,88,2,0.4
14,118,4,0.8
14,167,3,0.6
14,96,2,0.4
14,173,5,1.0
14,167,4,0.8
14,186,4,0.8
14,91,5,1.0
14,171,3,0.6
15,90,5,1.0
15,187,4,0.8
15,95,3,0.6
15,207,4,0.8
15,153,5,1.0
15,142,2,0.4
15,119,4,0.8
15,170,3,0.6
16,89,3,0.6
16,203,4,0.8
16,201,3,0.6
16,150,4,0.8
16,121,3,0.6
16,132,5,1.0
16,121,4,0.8
16,167,3,0.6
17,104,4,0.8
17,134,4,0.8
17,181,2,0.4
17,98,5,1.0
17,199,3,0.6
17,154,5,1.0
17,173,5,1.0
17,145,3,0.6
17,210,4,0.8
17,92,3,0.6
18,102,3,0.6
18,182,5,1.0
18,176,5,1.0
18,197,2,0.4
18,151,5,1.0
18,88,3,0.6
18,147,4,0.8
18,101,5,1.0
18,185,3,0.6
18,184,3,0.6
18,201,5,1.0
18,113,2,0.4
18,111,4,0.8
19,194,5,1.0
19,205,3,0.6
19,112,3,0.6
19,168,3,0.6
19,195,4,0.8
19,203,2,0.4
19,165,4,0.8
19,170,5,1.0
19,124,4,0.8
19,127,5,1.0
19,210,5,1.0
19,151,3,0.6
19,192,5,1.0
19,197,5,1.0
19,192,3,0.6
20,142,2,0.4
20,202,5,1.0
20,136,3,0.6
20,90,2,0.4
20,192,2,0.4
20,108,4,0.8
20,163,2,0.4
20,159,4,0.8
20,145,2,0.4
20,99,2,0.4
21,147,3,0.6
21,121,2,0.4
21,101,4,0.8
21,102,2,0.4
21,209,3,0.6
21,177,4,0.8
21,88,5,1.0
21,113,3,0.6
22,179,4,0.8
22,137,2,0.4
22,139,5,1.0
22,103,5,1.0
22,135,3,0.6
22,169,3,0.6
22,197,2,0.4
22,113,2,0.4
22,124,3,0.6
22,176,3,0.6
23,209,4,0.8
23,156,4,0.8
23,97,5,1.0
23,152,3,0.6
23,147,5,1.0
23,142,4,0.8
23,151,2,0.4
23,112,5,1.0
23,85,4,0.8
23,165,4,0.8
23,190,3,0.6
23,177,4,0.8
23,202,3,0.6
24,148,3,0.6
24,96,2,0.4
24,192,4,0.8
24,200,2,0.4
24,163,2,0.4
24,161,4,0.8
24,113,2,0.4
24,98,4,0.8
24,91,5,1.0
24,191,5,1.0
25,116,3,0.6
25,190,3,0.6
25,94,4,0.8
25,183,3,0.6
25,85,2,0.4
25,172,4,0.8
25,89,3,0.6
25,206,3,0.6
25,88,5,1.0
26,137,3,0.6
26,162,2,0.4
26,167,5,1.0
26,93,3,0.6
26,148,5,1.0
26,203,3,0.6
26,208,4,0.8
26,160,4,0.8
26,125,5,1.0
26,173,4,0.8
27,185,3,0.6
27,103,5,1.0
27,181,5,1.0
27,121,3,0.6
27,123,5,1.0
27,174,2,0.4
27,116,5,1.0
27,96,2,0.4
27,92,3,0.6
27,95,2,0.4
27,95,4,0.8
27,158,3,0.6
27,182,3,0.6
27,183,3,0.6
28,158,2,0.4
28,163,5,1.0
28,96,4,0.8
28,143,5,1.0
28,165,2,0.4
28,131,5,1.0
28,92,5,1.0
28,190,4,0.8
28,90,3,0.6
28,110,5,1.0
28,168,4,0.8
28,201,2,0.4
29,144,5,1.0
29,168,3,0.6
29,114,2,0.4
29,202,3,0.6
29,174,3,0.6
29,95,3,0.6
29,193,2,0.4
29,124,2,0.4
29,104,3,0.6
29,123,3,0.6
30,164,4,0.8
30,200,5,1.0
30,207,2,0.4
30,196,5,1.0
30,120,2,0.4
30,172,2,0.4
30,157,5,1.0
30,118,5,1.0
31,200,5,1.0
31,177,5,1.0
31,101,2,0.4
31,105,3,0.6
31,107,5,1.0
31,86,3,0.6
31,94,4,0.8
31,110,2,0.4
31,191,2,0.4
31,130,2,0.4
31,102,3,0.6
31,126,5,1.0
31,187,3,0.6
31,142,3,0.6
32,200,4,0.8
32,166,2,0.4
32,147,2,0.4
32,122,4,0.8
32,141,2,0.4
33,129,2,0.4
33,134,4,0.8
33,150,5,1.0
33,145,3,0.6
33,122,2,0.4
33,113,3,0.6
33,136,5,1.0
33,134,5,1.0
34,183,3,0.6
34,103,3,0.6
34,174,2,0.4
34,190,4,0.8
34,204,4,0.8
34,120,2,0.4
34,197,3,0.6
34,190,3,0.6
34,176,4,0.8
35,126,3,0.6
35,188,3,0.6
35,158,2,0.4
35,113,3,0.6
35,136,3,0.6
35,185,2,0.4
35,188,2,0.4
36,128,4,0.8
36,162,3,0.6
36,117,5,1.0
36,95,2,0.4
36,133,3,0.6
36,181,3,0.6
36,138,4,0.8
36,136,3,0.6
36,172,5,1.0
36,209,2,0.4
36,139,4,0.8
37,93,5,1.0
37,167,5,1.0
37,103,3,0.6
37,132,3,0.6
38,173,2,0.4
38,155,3,0.6
38,132,5,1.0
38,208,5,1.0
38,118,4,0.8
38,86,4,0.8
38,202,3,0.6
38,117,5,1.0
38,195,4,0.8
39,167,3,0.6
39,93,4,0.8
39,85,5,1.0
39,98,4,0.8
39,208,3,0.6
39,110,4,0.8
40,196,2,0.4
40,189,5,1.0
40,103,3,0.6
40,159,4,0.8
40,179,3,0.6
40,91,3,0.6
40,86,2,0.4
40,106,4,0.8
40,87,2,0.4
40,178,2,0.4
40,196,4,0.8
40,185,4,0.8
40,192,2,0.4
40,184,3,0.6
40,99,3,0.6
40,174,4,0.8
40,203,4,0.8
40,197,5,1.0
41,148,4,0.8
41,193,3,0.6
41,187,2,0.4
41,203,2,0.4
41,162,4,0.8
41,175,3,0.6
41,88,4,0.8
41,99,2,0.4
42,202,3,0.6
42,185,5,1.0
42,180,5,1.0
42,107,5,1.0
42,102,5,1.0
42,103,4,0.8
43,91,5,1.0
43,85,4,0.8
43,204,2,0.4
43,89,5,1.0
43,205,3,0.6
43,167,4,0.8
43,86,5,1.0
43,201,3,0.6
43,99,4,0.8
44,89,2,0.4
44,109,3,0.6
44,127,5,1.0
44,178,5,1.0
44,112,5,1.0
44,210,3,0.6
44,199,5,1.0
44,141,3,0.6
44,202,5,1.0
44,135,3,0.6
44,96,2,0.4
44,88,4,0.8
45,109,2,0.4
45,146,4,0.8
45,157,4,0.8
45,94,4,0.8
45,123,4,0.8
45,180,5,1.0
45,133,5,1.0
45,197,3,0.6
45,147,5,1.0
45,199,3,0.6
45,148,3,0.6
46,169,5,1.0
46,89,4,0.8
46,102,2,0.4
46,107,4,0.8
46,154,5,1.0
46,174,5,1.0
46,114,4,0.8
46,145,2,0.4
46,174,3,0.6
46,193,4,0.8
46,103,2,0.4
46,156,3,0.6
47,197,1,0.2
47,133,2,0.4
47,123,2,0.4
47,118,2,0.4
47,200,5,1.0
