User_Id,Location,Age,Location_clean,Location_norm,Location_tokens,Age_normalized
1,"Semarang, Jawa Tengah",20,"semarang, jawa tengah",semarang jawa tengah,"['semarang', 'jawa', 'tengah']",0.1111111111111111
2,"Bekasi, Jawa Barat",21,"bekasi, jawa barat",bekasi jawa barat,"['bekasi', 'jawa', 'barat']",0.12222222222222222
3,"Cirebon, Jawa Barat",23,"cirebon, jawa barat",cirebon jawa barat,"['cirebon', 'jawa', 'barat']",0.14444444444444443
4,"Bekasi, Jawa Barat",21,"bekasi, jawa barat",bekasi jawa barat,"['bekasi', 'jawa', 'barat']",0.12222222222222222
5,"Lampung, Sumatera Selatan",20,"lampung, sumatera selatan",lampung sumatera selatan,"['lampung', 'sumatera', 'selatan']",0.1111111111111111
6,"Jakarta Utara, DKI Jakarta",18,"jakarta utara, dki jakarta",jakarta utara dki jakarta,"['jakarta', 'utara', 'dki', 'jakarta']",0.08888888888888889
7,"Jakarta Selatan, DKI Jakarta",39,"jakarta selatan, dki jakarta",jakarta selatan dki jakarta,"['jakarta', 'selatan', 'dki', 'jakarta']",0.32222222222222224
8,"Bandung, Jawa Barat",40,"bandung, jawa barat",bandung jawa barat,"['bandung', 'jawa', 'barat']",0.3333333333333333
9,"Surabaya, Jawa Timur",38,"surabaya, jawa timur",surabaya jawa timur,"['surabaya', 'jawa', 'timur']",0.3111111111111111
10,"Bekasi, Jawa Barat",39,"bekasi, jawa barat",bekasi jawa barat,"['bekasi', 'jawa', 'barat']",0.32222222222222224
11,"Yogyakarta, DIY",20,"yogyakarta, diy",yogyakarta diy,"['yogyakarta', 'diy']",0.1111111111111111
12,"Bogor, Jawa Barat",37,"bogor, jawa barat",bogor jawa barat,"['bogor', 'jawa', 'barat']",0.3
13,"Depok, Jawa Barat",18,"depok, jawa barat",depok jawa barat,"['depok', 'jawa', 'barat']",0.08888888888888889
14,"Jakarta Pusat, DKI Jakarta",26,"jakarta pusat, dki jakarta",jakarta pusat dki jakarta,"['jakarta', 'pusat', 'dki', 'jakarta']",0.17777777777777778
15,"Jakarta Timur, DKI Jakarta",34,"jakarta timur, dki jakarta",jakarta timur dki jakarta,"['jakarta', 'timur', 'dki', 'jakarta']",0.26666666666666666
16,"Bekasi, Jawa Barat",40,"bekasi, jawa barat",bekasi jawa barat,"['bekasi', 'jawa', 'barat']",0.3333333333333333
17,"Semarang, Jawa Tengah",31,"semarang, jawa tengah",semarang jawa tengah,"['semarang', 'jawa', 'tengah']",0.23333333333333334
18,"Yogyakarta, DIY",39,"yogyakarta, diy",yogyakarta diy,"['yogyakarta', 'diy']",0.32222222222222224
19,"Cirebon, Jawa Barat",26,"cirebon, jawa barat",cirebon jawa barat,"['cirebon', 'jawa', 'barat']",0.17777777777777778
20,"Lampung, Sumatera Selatan",30,"lampung, sumatera selatan",lampung sumatera selatan,"['lampung', 'sumatera', 'selatan']",0.2222222222222222
21,"Semarang, Jawa Tengah",30,"semarang, jawa tengah",semarang jawa tengah,"['semarang', 'jawa', 'tengah']",0.2222222222222222
22,"Subang, Jawa Barat",25,"subang, jawa barat",subang jawa barat,"['subang', 'jawa', 'barat']",0.16666666666666666
23,"Jakarta Barat, DKI Jakarta",37,"jakarta barat, dki jakarta",jakarta barat dki jakarta,"['jakarta', 'barat', 'dki', 'jakarta']",0.3
24,"Bekasi, Jawa Barat",36,"bekasi, jawa barat",bekasi jawa barat,"['bekasi', 'jawa', 'barat']",0.28888888888888886
25,"Lampung, Sumatera Selatan",40,"lampung, sumatera selatan",lampung sumatera selatan,"['lampung', 'sumatera', 'selatan']",0.3333333333333333
26,"Palembang, Sumatera Selatan",38,"palembang, sumatera selatan",palembang sumatera selatan,"['palembang', 'sumatera', 'selatan']",0.3111111111111111
27,"Bogor, Jawa Barat",22,"bogor, jawa barat",bogor jawa barat,"['bogor', 'jawa', 'barat']",0.13333333333333333
28,"Sragen, Jawa Tengah",38,"sragen, jawa tengah",sragen jawa tengah,"['sragen', 'jawa', 'tengah']",0.3111111111111111
29,"Ponorogo, Jawa Timur",34,"ponorogo, jawa timur",ponorogo jawa timur,"['ponorogo', 'jawa', 'timur']",0.26666666666666666
30,"Depok, Jawa Barat",30,"depok, jawa barat",depok jawa barat,"['depok', 'jawa', 'barat']",0.2222222222222222
31,"Jakarta Selatan, DKI Jakarta",26,"jakarta selatan, dki jakarta",jakarta selatan dki jakarta,"['jakarta', 'selatan', 'dki', 'jakarta']",0.17777777777777778
32,"Bekasi, Jawa Barat",34,"bekasi, jawa barat",bekasi jawa barat,"['bekasi', 'jawa', 'barat']",0.26666666666666666
