source,id,name,name_clean,name_norm,name_tokens,description,description_clean,description_norm,description_tokens,category,category_clean,category_norm,category_tokens,price,rating,time_minutes,latitude,longitude,vote_count,htm_weekday,htm_weekend,rating_normalized,price_normalized,category_standardized,category_id,unified_price,merged_id,indoor,outdoor
dataset2,42,Affandi Museum,affandi museum,affandi museum,"['affandi', 'museum']",museum affandi merupakan salah satu museum seni di daerah istimewa yogyakarta indonesia museum yang berada di tepi sungai gajah wong ini menyimpan berbagai macam lukisan karya affandi selain itu museum ini juga menyimpan banyak benda peninggalan affandi lainnya seperti mobil sepeda onthel dan masih banyak lagi ada lebih dari lukisan termasuk beberapa potret diri dan karya dari seniman terkenal lainnya seperti sudjojono hendra gunawan dan barli jangan lupa untuk mengambil foto rumah affandi yang ikonis dengan atap yang berbentuk pelepah pisang,museum affandi merupakan salah satu museum seni di daerah istimewa yogyakarta indonesia museum yang berada di tepi sungai gajah wong ini menyimpan berbagai macam lukisan karya affandi selain itu museum ini juga menyimpan banyak benda peninggalan affandi lainnya seperti mobil sepeda onthel dan masih banyak lagi ada lebih dari lukisan termasuk beberapa potret diri dan karya dari seniman terkenal lainnya seperti sudjojono hendra gunawan dan barli jangan lupa untuk mengambil foto rumah affandi yang ikonis dengan atap yang berbentuk pelepah pisang,museum affandi merupakan salah satu museum seni di daerah istimewa yogyakarta indonesia museum yang berada di tepi sungai gajah wong ini menyimpan berbagai macam lukisan karya affandi selain itu museum ini juga menyimpan banyak benda peninggalan affandi lainnya seperti mobil sepeda onthel dan masih banyak lagi ada lebih dari lukisan termasuk beberapa potret diri dan karya dari seniman terkenal lainnya seperti sudjojono hendra gunawan dan barli jangan lupa untuk mengambil foto rumah affandi yang ikonis dengan atap yang berbentuk pelepah pisang,"['museum', 'affandi', 'merupakan', 'salah', 'satu', 'museum', 'seni', 'daerah', 'istimewa', 'yogyakarta', 'indonesia', 'museum', 'yang', 'berada', 'tepi', 'sungai', 'gajah', 'wong', 'ini', 'menyimpan', 'berbagai', 'macam', 'lukisan', 'karya', 'affandi', 'selain', 'itu', 'museum', 'ini', 'juga', 'menyimpan', 'banyak', 'benda', 'peninggalan', 'affandi', 'lainnya', 'seperti', 'mobil', 'sepeda', 'onthel', 'dan', 'masih', 'banyak', 'lagi', 'ada', 'lebih', 'dari', 'lukisan', 'termasuk', 'beberapa', 'potret', 'diri', 'dan', 'karya', 'dari', 'seniman', 'terkenal', 'lainnya', 'seperti', 'sudjojono', 'hendra', 'gunawan', 'dan', 'barli', 'jangan', 'lupa', 'untuk', 'mengambil', 'foto', 'rumah', 'affandi', 'yang', 'ikonis', 'dengan', 'atap', 'yang', 'berbentuk', 'pelepah', 'pisang']",Budaya_Dan_Sejarah,budaya dan sejarah,budaya dan sejarah,"['budaya', 'dan', 'sejarah']",0.0,4.6,,-7.782713,110.396397,1848.0,30000.0,30000.0,0.92,0.0217391304347826,budaya,2,30000.0,1,1,0
dataset2,466,Agro Tourism Bhumi Merapi,agro tourism bhumi merapi,agro tourism bhumi merapi,"['agro', 'tourism', 'bhumi', 'merapi']",agrowisata bhumi merapi yogyakarta tempat wisata yang terletak di daerah kaliurang ini menawarkan wisata edukasi bagi para pengunjungnya dibangun pada tahun dengan luas hektar tempat wisata ini menawarkan konsep pertanian perkebunan dan peternakan jadi selain liburan para pengunjung pun bisa mendapatkan banyak ilmu suasananya yang sejuk dan nyaman juga membuat para pengunjung betah berlama lama disana berbagai aktivitas wisata bisa dilakukan di tempat wisata ini utamanya kegiatan kegiatan yang berhubungan dengan pertanian peternakan dan perkebunan berikut beberapa diantaranya identik dengan wisata edukasi taman rekreasi ini menyediakan tempat belajar budidaya hewan bagi para pengunjungnya diantaranya kambing dan kelinci kambing yang dipelajari adalah jenis kambing ettawa kegiatan yang dilakukan diantaranya adalah memerah susu kambing memberikan susu dot bagi anak kambing mengolah susu untuk dijadikan yogurt dan ice cream pengolahan pakan ternak dan pengolahan kotoran kambing menjadi pupuk organik dan biogas sedangkan kelinci yang ada disini adalah kelinci hias dan kelinci pedaging dan pengunjung juga bisa memberi makan kepada kelinci selain itu ada juga binatang berjenis reptile yang dipelihara disini seperti ular kura kura dan reptile lainnya yang dapat digunakan sebagai sarana edukasi,agrowisata bhumi merapi yogyakarta tempat wisata yang terletak di daerah kaliurang ini menawarkan wisata edukasi bagi para pengunjungnya dibangun pada tahun dengan luas hektar tempat wisata ini menawarkan konsep pertanian perkebunan dan peternakan jadi selain liburan para pengunjung pun bisa mendapatkan banyak ilmu suasananya yang sejuk dan nyaman juga membuat para pengunjung betah berlama lama disana berbagai aktivitas wisata bisa dilakukan di tempat wisata ini utamanya kegiatan kegiatan yang berhubungan dengan pertanian peternakan dan perkebunan berikut beberapa diantaranya identik dengan wisata edukasi taman rekreasi ini menyediakan tempat belajar budidaya hewan bagi para pengunjungnya diantaranya kambing dan kelinci kambing yang dipelajari adalah jenis kambing ettawa kegiatan yang dilakukan diantaranya adalah memerah susu kambing memberikan susu dot bagi anak kambing mengolah susu untuk dijadikan yogurt dan ice cream pengolahan pakan ternak dan pengolahan kotoran kambing menjadi pupuk organik dan biogas sedangkan kelinci yang ada disini adalah kelinci hias dan kelinci pedaging dan pengunjung juga bisa memberi makan kepada kelinci selain itu ada juga binatang berjenis reptile yang dipelihara disini seperti ular kura kura dan reptile lainnya yang dapat digunakan sebagai sarana edukasi,agrowisata bhumi merapi yogyakarta tempat wisata yang terletak di daerah kaliurang ini menawarkan wisata edukasi bagi para pengunjungnya dibangun pada tahun dengan luas hektar tempat wisata ini menawarkan konsep pertanian perkebunan dan peternakan jadi selain liburan para pengunjung pun bisa mendapatkan banyak ilmu suasananya yang sejuk dan nyaman juga membuat para pengunjung betah berlama lama disana berbagai aktivitas wisata bisa dilakukan di tempat wisata ini utamanya kegiatan kegiatan yang berhubungan dengan pertanian peternakan dan perkebunan berikut beberapa diantaranya identik dengan wisata edukasi taman rekreasi ini menyediakan tempat belajar budidaya hewan bagi para pengunjungnya diantaranya kambing dan kelinci kambing yang dipelajari adalah jenis kambing ettawa kegiatan yang dilakukan diantaranya adalah memerah susu kambing memberikan susu dot bagi anak kambing mengolah susu untuk dijadikan yogurt dan ice cream pengolahan pakan ternak dan pengolahan kotoran kambing menjadi pupuk organik dan biogas sedangkan kelinci yang ada disini adalah kelinci hias dan kelinci pedaging dan pengunjung juga bisa memberi makan kepada kelinci selain itu ada juga binatang berjenis reptile yang dipelihara disini seperti ular kura kura dan reptile lainnya yang dapat digunakan sebagai sarana edukasi,"['agrowisata', 'bhumi', 'merapi', 'yogyakarta', 'tempat', 'wisata', 'yang', 'terletak', 'daerah', 'kaliurang', 'ini', 'menawarkan', 'wisata', 'edukasi', 'bagi', 'para', 'pengunjungnya', 'dibangun', 'pada', 'tahun', 'dengan', 'luas', 'hektar', 'tempat', 'wisata', 'ini', 'menawarkan', 'konsep', 'pertanian', 'perkebunan', 'dan', 'peternakan', 'jadi', 'selain', 'liburan', 'para', 'pengunjung', 'pun', 'bisa', 'mendapatkan', 'banyak', 'ilmu', 'suasananya', 'yang', 'sejuk', 'dan', 'nyaman', 'juga', 'membuat', 'para', 'pengunjung', 'betah', 'berlama', 'lama', 'disana', 'berbagai', 'aktivitas', 'wisata', 'bisa', 'dilakukan', 'tempat', 'wisata', 'ini', 'utamanya', 'kegiatan', 'kegiatan', 'yang', 'berhubungan', 'dengan', 'pertanian', 'peternakan', 'dan', 'perkebunan', 'berikut', 'beberapa', 'diantaranya', 'identik', 'dengan', 'wisata', 'edukasi', 'taman', 'rekreasi', 'ini', 'menyediakan', 'tempat', 'belajar', 'budidaya', 'hewan', 'bagi', 'para', 'pengunjungnya', 'diantaranya', 'kambing', 'dan', 'kelinci', 'kambing', 'yang', 'dipelajari', 'adalah', 'jenis', 'kambing', 'ettawa', 'kegiatan', 'yang', 'dilakukan', 'diantaranya', 'adalah', 'memerah', 'susu', 'kambing', 'memberikan', 'susu', 'dot', 'bagi', 'anak', 'kambing', 'mengolah', 'susu', 'untuk', 'dijadikan', 'yogurt', 'dan', 'ice', 'cream', 'pengolahan', 'pakan', 'ternak', 'dan', 'pengolahan', 'kotoran', 'kambing', 'menjadi', 'pupuk', 'organik', 'dan', 'biogas', 'sedangkan', 'kelinci', 'yang', 'ada', 'disini', 'adalah', 'kelinci', 'hias', 'dan', 'kelinci', 'pedaging', 'dan', 'pengunjung', 'juga', 'bisa', 'memberi', 'makan', 'kepada', 'kelinci', 'selain', 'itu', 'ada', 'juga', 'binatang', 'berjenis', 'reptile', 'yang', 'dipelihara', 'disini', 'seperti', 'ular', 'kura', 'kura', 'dan', 'reptile', 'lainnya', 'yang', 'dapat', 'digunakan', 'sebagai', 'sarana', 'edukasi']",Agrowisata,agrowisata,agrowisata,['agrowisata'],0.0,4.5,,-7.6400756,110.4264098,7697.0,30000.0,30000.0,0.9,0.0217391304347826,lainnya,7,30000.0,2,0,1
dataset2,454,Air Terjun Banyu Nibo,air terjun banyu nibo,air terjun banyu nibo,"['air', 'terjun', 'banyu', 'nibo']",air terjun mungil yang dikelilingi pepohonan cocok untuk healing dan eksplorasi,air terjun mungil yang dikelilingi pepohonan cocok untuk healing dan eksplorasi,air terjun mungil yang dikelilingi pepohonan cocok untuk healing dan eksplorasi,"['air', 'terjun', 'mungil', 'yang', 'dikelilingi', 'pepohonan', 'cocok', 'untuk', 'healing', 'dan', 'eksplorasi']",Wisata Air,wisata air,wisata air,"['wisata', 'air']",0.0,4.3,,-7.9033828,110.4572075,99.0,0.0,0.0,0.86,0.0,wisata air,5,0.0,3,0,1
dataset2,299,Air Terjun Kedung Manglu,air terjun kedung manglu,air terjun kedung manglu,"['air', 'terjun', 'kedung', 'manglu']",air terjun yang tersembunyi dengan suasana alami cocok untuk petualangan dan menikmati keindahan alam,air terjun yang tersembunyi dengan suasana alami cocok untuk petualangan dan menikmati keindahan alam,air terjun yang tersembunyi dengan suasana alami cocok untuk petualangan dan menikmati keindahan alam,"['air', 'terjun', 'yang', 'tersembunyi', 'dengan', 'suasana', 'alami', 'cocok', 'untuk', 'petualangan', 'dan', 'menikmati', 'keindahan', 'alam']",Wisata Air,wisata air,wisata air,"['wisata', 'air']",0.0,5.0,,-7.937667,110.408222,1.0,5000.0,5000.0,1.0,0.0036231884057971,wisata air,5,5000.0,4,0,1
dataset1,132,Air Terjun Kedung Pedut,air terjun kedung pedut,air terjun kedung pedut,"['air', 'terjun', 'kedung', 'pedut']","Air Terjun Kedung Pedut atau biasa disebut Curug Kedung Pedut berasal dari istilah bahasa Jawa. Curug yang berarti air terjun, kedung berarti kubangan atau kolam, dan pedut berarti kabut. Air Terjun Kedung Pedut merupakan salah satu wisata alam yang di Kulonprogo yang dikenal karena keindahan warna airnya.","air terjun kedung pedut atau biasa disebut curug kedung pedut berasal dari istilah bahasa jawa. curug yang berarti air terjun, kedung berarti kubangan atau kolam, dan pedut berarti kabut. air terjun kedung pedut merupakan salah satu wisata alam yang di kulonprogo yang dikenal karena keindahan warna airnya.",air terjun kedung pedut atau biasa disebut curug kedung pedut berasal dari istilah bahasa jawa curug yang berarti air terjun kedung berarti kubangan atau kolam dan pedut berarti kabut air terjun kedung pedut merupakan salah satu wisata alam yang di kulonprogo yang dikenal karena keindahan warna airnya,"['air', 'terjun', 'kedung', 'pedut', 'atau', 'biasa', 'disebut', 'curug', 'kedung', 'pedut', 'berasal', 'dari', 'istilah', 'bahasa', 'jawa', 'curug', 'yang', 'berarti', 'air', 'terjun', 'kedung', 'berarti', 'kubangan', 'atau', 'kolam', 'dan', 'pedut', 'berarti', 'kabut', 'air', 'terjun', 'kedung', 'pedut', 'merupakan', 'salah', 'satu', 'wisata', 'alam', 'yang', 'kulonprogo', 'yang', 'dikenal', 'karena', 'keindahan', 'warna', 'airnya']",Cagar Alam,cagar alam,cagar alam,"['cagar', 'alam']",20000.0,4.5,60.0,-7.7699875,110.1210707,0.0,0.0,0.0,0.9,,cagar alam,1,20000.0,5,0,1
dataset2,148,Air Terjun Sindet,air terjun sindet,air terjun sindet,"['air', 'terjun', 'sindet']",air terjun dengan aliran yang deras dan lingkungan hijau menjadi destinasi favorit untuk wisata alam,air terjun dengan aliran yang deras dan lingkungan hijau menjadi destinasi favorit untuk wisata alam,air terjun dengan aliran yang deras dan lingkungan hijau menjadi destinasi favorit untuk wisata alam,"['air', 'terjun', 'dengan', 'aliran', 'yang', 'deras', 'dan', 'lingkungan', 'hijau', 'menjadi', 'destinasi', 'favorit', 'untuk', 'wisata', 'alam']",Wisata Air,wisata air,wisata air,"['wisata', 'air']",0.0,1.0,,-7.9011588,110.3934474,1.0,10000.0,10000.0,0.2,0.0072463768115942,wisata air,5,10000.0,6,0,1
dataset1,192,Air Terjun Sri Gethuk,air terjun sri gethuk,air terjun sri gethuk,"['air', 'terjun', 'sri', 'gethuk']","Air Terjun Sri Gethuk merupakan salah satu objek wisata alam yang terletak di Kecamatan Playen, Kabupaten Gunungkidul, Yogyakarta. Air terjun ini berada di tepi Sungai Oyo sehingga untuk menikmatinya harus menyelusuri sungai dengan rakit. Sepanjang perjalanan akan disuguhi pemandangan berupa tebing tebing kapur dikanan-kiri dan rimbunnya pepohonan. Jika di musim kemarau, air sungai akan sangat jernih berwana kehijauan dan tenang.\nAir terjun Sri Gethuk ini memiliki 3 sumber mata air yaitu mata air Ngandong, Dong Poh, dan Ngumbul. Ketiga mata air ini berkumpul dan mengalir melalui tebing tinggi hingga membentuk air terjun Sri Gethuk. Air Terjun Sri Gethuk memiliki tinggi sekira 25 meter dengan 3-5 terjunan air terjun tergantung musim. Air yang tak pernah kering itu jatuh tak membuat kolam namun langsung merayapi bebatuan kapur yang rapi di tepi sungai. Air terjun ini sedang dalam tahap pengembangan untuk menjadi destinasi wisata andalan Kabupaten Gunungkidul selain dari pantai dan pegunungan karst.\nAir Terjun Sri Gethuk juga disebut sebagai Air Terjun Slempret. Nama Slempret sendiri berasal dari legenda yang ada di Desa Bleberan. Menurut cerita yang beredar di masyarakat, air tejun ini merupakan pusatnya para jin dengan pimpinan Jin Anggo Menduro. Air terjun ini bermula dari tiga sumber mata air yaitu Kedungpoh, Ngandong, dan Ngumbul. Ketiga sumber mata air tersebut mengalir menjadi satu dan membentuk butiran-butiran air yang jatuh dari tebing bebatuan karst yang tandus.","air terjun sri gethuk merupakan salah satu objek wisata alam yang terletak di kecamatan playen, kabupaten gunungkidul, yogyakarta. air terjun ini berada di tepi sungai oyo sehingga untuk menikmatinya harus menyelusuri sungai dengan rakit. sepanjang perjalanan akan disuguhi pemandangan berupa tebing tebing kapur dikanan kiri dan rimbunnya pepohonan. jika di musim kemarau, air sungai akan sangat jernih berwana kehijauan dan tenang. nair terjun sri gethuk ini memiliki 3 sumber mata air yaitu mata air ngandong, dong poh, dan ngumbul. ketiga mata air ini berkumpul dan mengalir melalui tebing tinggi hingga membentuk air terjun sri gethuk. air terjun sri gethuk memiliki tinggi sekira 25 meter dengan 3 5 terjunan air terjun tergantung musim. air yang tak pernah kering itu jatuh tak membuat kolam namun langsung merayapi bebatuan kapur yang rapi di tepi sungai. air terjun ini sedang dalam tahap pengembangan untuk menjadi destinasi wisata andalan kabupaten gunungkidul selain dari pantai dan pegunungan karst. nair terjun sri gethuk juga disebut sebagai air terjun slempret. nama slempret sendiri berasal dari legenda yang ada di desa bleberan. menurut cerita yang beredar di masyarakat, air tejun ini merupakan pusatnya para jin dengan pimpinan jin anggo menduro. air terjun ini bermula dari tiga sumber mata air yaitu kedungpoh, ngandong, dan ngumbul. ketiga sumber mata air tersebut mengalir menjadi satu dan membentuk butiran butiran air yang jatuh dari tebing bebatuan karst yang tandus.",air terjun sri gethuk merupakan salah satu objek wisata alam yang terletak di kecamatan playen kabupaten gunungkidul yogyakarta air terjun ini berada di tepi sungai oyo sehingga untuk menikmatinya harus menyelusuri sungai dengan rakit sepanjang perjalanan akan disuguhi pemandangan berupa tebing tebing kapur dikanan kiri dan rimbunnya pepohonan jika di musim kemarau air sungai akan sangat jernih berwana kehijauan dan tenang nair terjun sri gethuk ini memiliki 3 sumber mata air yaitu mata air ngandong dong poh dan ngumbul ketiga mata air ini berkumpul dan mengalir melalui tebing tinggi hingga membentuk air terjun sri gethuk air terjun sri gethuk memiliki tinggi sekira 25 meter dengan 3 5 terjunan air terjun tergantung musim air yang tak pernah kering itu jatuh tak membuat kolam namun langsung merayapi bebatuan kapur yang rapi di tepi sungai air terjun ini sedang dalam tahap pengembangan untuk menjadi destinasi wisata andalan kabupaten gunungkidul selain dari pantai dan pegunungan karst nair terjun sri gethuk juga disebut sebagai air terjun slempret nama slempret sendiri berasal dari legenda yang ada di desa bleberan menurut cerita yang beredar di masyarakat air tejun ini merupakan pusatnya para jin dengan pimpinan jin anggo menduro air terjun ini bermula dari tiga sumber mata air yaitu kedungpoh ngandong dan ngumbul ketiga sumber mata air tersebut mengalir menjadi satu dan membentuk butiran butiran air yang jatuh dari tebing bebatuan karst yang tandus,"['air', 'terjun', 'sri', 'gethuk', 'merupakan', 'salah', 'satu', 'objek', 'wisata', 'alam', 'yang', 'terletak', 'kecamatan', 'playen', 'kabupaten', 'gunungkidul', 'yogyakarta', 'air', 'terjun', 'ini', 'berada', 'tepi', 'sungai', 'oyo', 'sehingga', 'untuk', 'menikmatinya', 'harus', 'menyelusuri', 'sungai', 'dengan', 'rakit', 'sepanjang', 'perjalanan', 'akan', 'disuguhi', 'pemandangan', 'berupa', 'tebing', 'tebing', 'kapur', 'dikanan', 'kiri', 'dan', 'rimbunnya', 'pepohonan', 'jika', 'musim', 'kemarau', 'air', 'sungai', 'akan', 'sangat', 'jernih', 'berwana', 'kehijauan', 'dan', 'tenang', 'nair', 'terjun', 'sri', 'gethuk', 'ini', 'memiliki', 'sumber', 'mata', 'air', 'yaitu', 'mata', 'air', 'ngandong', 'dong', 'poh', 'dan', 'ngumbul', 'ketiga', 'mata', 'air', 'ini', 'berkumpul', 'dan', 'mengalir', 'melalui', 'tebing', 'tinggi', 'hingga', 'membentuk', 'air', 'terjun', 'sri', 'gethuk', 'air', 'terjun', 'sri', 'gethuk', 'memiliki', 'tinggi', 'sekira', 'meter', 'dengan', 'terjunan', 'air', 'terjun', 'tergantung', 'musim', 'air', 'yang', 'tak', 'pernah', 'kering', 'itu', 'jatuh', 'tak', 'membuat', 'kolam', 'namun', 'langsung', 'merayapi', 'bebatuan', 'kapur', 'yang', 'rapi', 'tepi', 'sungai', 'air', 'terjun', 'ini', 'sedang', 'dalam', 'tahap', 'pengembangan', 'untuk', 'menjadi', 'destinasi', 'wisata', 'andalan', 'kabupaten', 'gunungkidul', 'selain', 'dari', 'pantai', 'dan', 'pegunungan', 'karst', 'nair', 'terjun', 'sri', 'gethuk', 'juga', 'disebut', 'sebagai', 'air', 'terjun', 'slempret', 'nama', 'slempret', 'sendiri', 'berasal', 'dari', 'legenda', 'yang', 'ada', 'desa', 'bleberan', 'menurut', 'cerita', 'yang', 'beredar', 'masyarakat', 'air', 'tejun', 'ini', 'merupakan', 'pusatnya', 'para', 'jin', 'dengan', 'pimpinan', 'jin', 'anggo', 'menduro', 'air', 'terjun', 'ini', 'bermula', 'dari', 'tiga', 'sumber', 'mata', 'air', 'yaitu', 'kedungpoh', 'ngandong', 'dan', 'ngumbul', 'ketiga', 'sumber', 'mata', 'air', 'tersebut', 'mengalir', 'menjadi', 'satu', 'dan', 'membentuk', 'butiran', 'butiran', 'air', 'yang', 'jatuh', 'dari', 'tebing', 'bebatuan', 'karst', 'yang', 'tandus']",Cagar Alam,cagar alam,cagar alam,"['cagar', 'alam']",15000.0,4.4,,-7.943178,110.48924,0.0,0.0,0.0,0.8800000000000001,,cagar alam,1,15000.0,7,0,1
dataset2,330,Aisha tour planner & transport service,aisha tour planner transport service,aisha tour planner transport service,"['aisha', 'tour', 'planner', 'transport', 'service']",layanan perencanaan tour dan transportasi privat di yogyakarta menyediakan paket city tour antar jemput bandara hingga trip luar kota,layanan perencanaan tour dan transportasi privat di yogyakarta menyediakan paket city tour antar jemput bandara hingga trip luar kota,layanan perencanaan tour dan transportasi privat di yogyakarta menyediakan paket city tour antar jemput bandara hingga trip luar kota,"['layanan', 'perencanaan', 'tour', 'dan', 'transportasi', 'privat', 'yogyakarta', 'menyediakan', 'paket', 'city', 'tour', 'antar', 'jemput', 'bandara', 'hingga', 'trip', 'luar', 'kota']",Agrowisata,agrowisata,agrowisata,['agrowisata'],0.0,5.0,,-7.7972273,110.3905519,2.0,5000.0,5000.0,1.0,0.0036231884057971,lainnya,7,5000.0,8,0,1
dataset1,96,Alun Alun Selatan Yogyakarta,alun alun selatan yogyakarta,alun alun selatan yogyakarta,"['alun', 'alun', 'selatan', 'yogyakarta']","Alun-alun Selatan atau yang sekarang lebih dikenal sebagai Alun-alun Kidul (Alkid) yaitu alun-alun yang terletak di sebelah selatan karaton Yogyakarta. Alun-alun ini berbentuk tanah lapang luas berpasir, dengan luas sekitar 160m x 160 m. Alun-alun ini dikelilingi pagar tembok batu bata setinggi 2,20 m, tebal pagar tembok 30 cm, sudah banyak yang runtuh dan rusak. Adapun pagar tembok yang dapat disaksikan sekarang adalah pagar tembok baru, yang dibangun oleh Sri Sultan Hamengkubuwono ke VII pada masa pemerintahannya tahun 1877 -1921 M.","alun alun selatan atau yang sekarang lebih dikenal sebagai alun alun kidul alkid yaitu alun alun yang terletak di sebelah selatan karaton yogyakarta. alun alun ini berbentuk tanah lapang luas berpasir, dengan luas sekitar 160m x 160 m. alun alun ini dikelilingi pagar tembok batu bata setinggi 2,20 m, tebal pagar tembok 30 cm, sudah banyak yang runtuh dan rusak. adapun pagar tembok yang dapat disaksikan sekarang adalah pagar tembok baru, yang dibangun oleh sri sultan hamengkubuwono ke vii pada masa pemerintahannya tahun 1877 1921 m.",alun alun selatan atau yang sekarang lebih dikenal sebagai alun alun kidul alkid yaitu alun alun yang terletak di sebelah selatan karaton yogyakarta alun alun ini berbentuk tanah lapang luas berpasir dengan luas sekitar 160m x 160 m alun alun ini dikelilingi pagar tembok batu bata setinggi 220 m tebal pagar tembok 30 cm sudah banyak yang runtuh dan rusak adapun pagar tembok yang dapat disaksikan sekarang adalah pagar tembok baru yang dibangun oleh sri sultan hamengkubuwono ke vii pada masa pemerintahannya tahun 1877 1921 m,"['alun', 'alun', 'selatan', 'atau', 'yang', 'sekarang', 'lebih', 'dikenal', 'sebagai', 'alun', 'alun', 'kidul', 'alkid', 'yaitu', 'alun', 'alun', 'yang', 'terletak', 'sebelah', 'selatan', 'karaton', 'yogyakarta', 'alun', 'alun', 'ini', 'berbentuk', 'tanah', 'lapang', 'luas', 'berpasir', 'dengan', 'luas', 'sekitar', '160m', '160', 'alun', 'alun', 'ini', 'dikelilingi', 'pagar', 'tembok', 'batu', 'bata', 'setinggi', '220', 'tebal', 'pagar', 'tembok', 'sudah', 'banyak', 'yang', 'runtuh', 'dan', 'rusak', 'adapun', 'pagar', 'tembok', 'yang', 'dapat', 'disaksikan', 'sekarang', 'adalah', 'pagar', 'tembok', 'baru', 'yang', 'dibangun', 'oleh', 'sri', 'sultan', 'hamengkubuwono', 'vii', 'pada', 'masa', 'pemerintahannya', 'tahun', '1877', '1921']",Taman Hiburan,taman hiburan,taman hiburan,"['taman', 'hiburan']",0.0,4.6,60.0,-7.8116719,110.363238,0.0,0.0,0.0,0.92,,taman hiburan,3,0.0,9,1,1
dataset2,50,Andi Bayou Museum,andi bayou museum,andi bayou museum,"['andi', 'bayou', 'museum']",museum pribadi yang menampilkan koleksi seni dan budaya memberikan wawasan tentang kreativitas lokal,museum pribadi yang menampilkan koleksi seni dan budaya memberikan wawasan tentang kreativitas lokal,museum pribadi yang menampilkan koleksi seni dan budaya memberikan wawasan tentang kreativitas lokal,"['museum', 'pribadi', 'yang', 'menampilkan', 'koleksi', 'seni', 'dan', 'budaya', 'memberikan', 'wawasan', 'tentang', 'kreativitas', 'lokal']",Museum,museum,museum,['museum'],0.0,5.0,,-7.7759703,110.3485938,1.0,0.0,0.0,1.0,0.0,museum,6,0.0,10,1,0
